PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,rang_sozial,belastung_rang
Tiroler Viertel,Pankow,52.6,43.0,31.4,127.0
Babelsberger Straße,Charlottenburg-Wilmersdorf,35.1,33.8,58.1,127.0
Reichenberger Straße Ost,Friedrichshain-Kreuzberg,14.9,29.5,82.3,126.7
Plänterwald West,Treptow-Köpenick,57.7,44.6,24.4,126.7
Pillnitzer Weg,Spandau,18.5,17.5,90.0,126.0
Märkisches Zentrum,Reinickendorf,15.1,25.1,85.6,125.8
Eisenacher Straße,Tempelhof-Schöneberg,28.4,27.7,69.7,125.8
Zehlendorf Eiche,Steglitz-Zehlendorf,75.5,33.4,16.6,125.5
Forckenbeckstraße,Charlottenburg-Wilmersdorf,50.9,52.8,21.2,124.9
Florakiez,Pankow,48.3,49.1,27.5,124.9
Rudolf-Wissell-Großsiedlung,Spandau,12.2,21.6,91.0,124.8
Dannenwalder Weg,Reinickendorf,18.1,15.5,90.8,124.4
Trelleborger Viertel,Pankow,54.1,39.1,31.2,124.4
Stephankiez,Mitte,22.7,22.1,79.5,124.3
Am Forstacker,Spandau,26.0,27.5,70.8,124.3
Arkonaplatz,Mitte,55.2,55.9,13.1,124.2
Marienhöhe,Tempelhof-Schöneberg,28.2,34.5,61.4,124.1
Urbanstraße,Friedrichshain-Kreuzberg,23.6,33.2,67.0,123.8
Sundgauer Straße,Steglitz-Zehlendorf,65.5,33.9,24.0,123.4
Breitkopfbecken,Reinickendorf,22.3,17.9,83.2,123.4
Erieseering,Lichtenberg,34.9,26.6,61.8,123.3
Teterower Ring,Marzahn-Hellersdorf,30.8,45.8,46.5,123.1
Michelangelostraße,Pankow,26.6,30.1,65.1,121.8
Schillerpromenade Nord,Neukölln,11.3,20.8,89.7,121.8
Hildegardstraße,Charlottenburg-Wilmersdorf,43.5,54.6,23.6,121.7
Lindenhofsiedlung,Tempelhof-Schöneberg,23.8,32.3,64.9,121.0
Karlshorst Nord,Lichtenberg,61.6,47.8,11.4,120.8
Hufeisensiedlung,Neukölln,36.0,19.9,64.8,120.7
Alt-Lankwitz,Steglitz-Zehlendorf,41.5,27.9,50.6,120.0
Lichterfelde Süd,Steglitz-Zehlendorf,38.6,30.6,50.7,119.9
Gleisdreieck,Friedrichshain-Kreuzberg,38.0,67.9,13.5,119.4
Zachertstraße,Lichtenberg,44.8,29.0,45.6,119.4
Viktoriapark,Friedrichshain-Kreuzberg,25.5,37.3,56.3,119.1
Pastor-Niemöller-Platz,Pankow,59.6,41.7,17.5,118.8
Anton-Saefkow-Park,Pankow,38.7,36.7,43.0,118.4
Soldiner Straße,Mitte,11.6,12.0,94.3,117.9
Schlossgarten,Charlottenburg-Wilmersdorf,12.4,16.8,88.7,117.9
Halensee,Charlottenburg-Wilmersdorf,40.0,42.4,35.1,117.5
