PLR_NAME,BEZ_NAME,gruen_gvz,rang_gruen,esix_wert,rang_sozial
Goldhähnchenweg,Neukölln,2.425,67.2,-0.458,70.1
Richard-Wagner-Straße,Charlottenburg-Wilmersdorf,2.054,81.2,-0.446,69.9
Eisenacher Straße,Tempelhof-Schöneberg,3.666,27.7,-0.44,69.7
Siemensdamm,Spandau,3.629,28.8,-0.427,69.6
Rohrdamm,Spandau,7.371,6.1,-0.427,69.4
Wittenbergplatz,Tempelhof-Schöneberg,2.456,65.9,-0.424,69.2
Gartenfeld,Spandau,2.651,58.5,-0.419,69.0
Buckower Ring,Marzahn-Hellersdorf,3.767,24.7,-0.413,68.8
Frankfurter Allee Süd,Lichtenberg,2.357,69.7,-0.408,68.6
Schäfersee,Reinickendorf,4.372,18.1,-0.391,68.5
Helmholtz-Kiez,Treptow-Köpenick,2.567,61.6,-0.385,68.3
Machonstraße,Tempelhof-Schöneberg,2.893,49.8,-0.371,68.1
Ringstraße,Tempelhof-Schöneberg,2.127,77.1,-0.371,67.9
Hauptstraße,Lichtenberg,1.49,93.4,-0.371,67.7
Thermometersiedlung,Steglitz-Zehlendorf,4.076,21.8,-0.357,67.5
Landweg,Steglitz-Zehlendorf,5.038,13.5,-0.335,67.3
Springpfuhl,Marzahn-Hellersdorf,3.115,43.4,-0.33,67.2
Urbanstraße,Friedrichshain-Kreuzberg,3.42,33.2,-0.324,67.0
Lea-Grundig-Straße,Marzahn-Hellersdorf,2.565,61.8,-0.324,66.8
Bürgerpark,Marzahn-Hellersdorf,2.999,45.9,-0.324,66.6
Köllnische Vorstadt,Treptow-Köpenick,2.54,62.9,-0.324,66.4
Tegeler Weg,Charlottenburg-Wilmersdorf,2.508,63.8,-0.307,66.2
Tierpark,Lichtenberg,7.462,5.7,-0.305,66.1
Am Kienberg,Marzahn-Hellersdorf,2.102,78.4,-0.295,65.9
Marzahner Promenade,Marzahn-Hellersdorf,2.214,74.9,-0.292,65.7
Imbrosweg,Tempelhof-Schöneberg,3.212,39.7,-0.281,65.5
Schumacher-Quartier,Reinickendorf,1.242,96.7,-0.271,65.3
Michelangelostraße,Pankow,3.545,30.1,-0.263,65.1
Lindenhofsiedlung,Tempelhof-Schöneberg,3.461,32.3,-0.262,64.9
Hufeisensiedlung,Neukölln,4.182,19.9,-0.26,64.8
Parchimer Allee Süd,Neukölln,6.022,9.6,-0.26,64.6
Griechischer Park,Treptow-Köpenick,1.546,92.4,-0.255,64.4
Wuhlheide,Treptow-Köpenick,8.369,4.8,-0.254,64.2
Schlangenbader Straße,Charlottenburg-Wilmersdorf,2.388,68.3,-0.253,64.0
Fritz-Werner-Straße,Tempelhof-Schöneberg,1.812,86.9,-0.248,63.8
Rosenfelder Ring,Lichtenberg,2.428,67.0,-0.242,63.7
Mellerbogen,Reinickendorf,3.21,39.9,-0.225,63.5
Gallwitzallee,Steglitz-Zehlendorf,3.453,32.5,-0.221,63.3
Belßstraße,Steglitz-Zehlendorf,3.1,43.9,-0.221,63.1
Volkspark (Rudolph-Wilde-Park),Tempelhof-Schöneberg,2.908,49.3,-0.217,62.9
Chamissokiez,Friedrichshain-Kreuzberg,3.063,44.8,-0.215,62.7
Grazer Platz,Tempelhof-Schöneberg,2.606,59.8,-0.212,62.5
Humboldtstraße,Reinickendorf,4.003,22.7,-0.208,62.4
Rathaus Tempelhof,Tempelhof-Schöneberg,2.254,73.1,-0.196,62.2
Volkradstraße,Lichtenberg,4.862,14.6,-0.189,62.0
Erieseering,Lichtenberg,3.692,26.6,-0.188,61.8
