PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Stralauer Halbinsel,Friedrichshain-Kreuzberg,22.9,94.8,117.7,10.7
Eckschanze,Spandau,61.3,56.3,117.6,83.8
Lüneburger Straße,Mitte,34.3,82.1,116.4,56.5
Grazer Platz,Tempelhof-Schöneberg,56.5,59.8,116.3,62.5
Am Kienberg,Marzahn-Hellersdorf,37.5,78.4,115.9,65.9
Friedrich-Karl-Straße,Tempelhof-Schöneberg,56.3,59.4,115.7,57.7
Storkower Bogen,Lichtenberg,62.0,53.3,115.3,48.3
Boulevard Kastanienallee,Marzahn-Hellersdorf,53.1,61.4,114.5,86.5
Oberhofer Platz,Steglitz-Zehlendorf,79.3,34.9,114.2,14.4
Germaniagarten,Tempelhof-Schöneberg,48.5,65.3,113.8,93.2
Gartenfelder Straße,Spandau,67.0,46.7,113.7,82.7
Richard-Sorge-Viertel,Friedrichshain-Kreuzberg,54.6,59.0,113.6,33.4
Humannplatz,Pankow,57.9,55.2,113.1,19.4
Breite Straße,Charlottenburg-Wilmersdorf,65.9,46.9,112.8,24.7
Nöldnerplatz,Lichtenberg,62.4,49.6,112.0,45.9
Brabanter Platz,Charlottenburg-Wilmersdorf,42.3,69.4,111.7,55.4
Wuhletalstraße,Marzahn-Hellersdorf,46.7,64.8,111.5,79.3
Ackerstraße,Spandau,59.4,52.0,111.4,80.8
Schlangenbader Straße,Charlottenburg-Wilmersdorf,42.8,68.3,111.1,64.0
Arkonaplatz,Mitte,55.2,55.9,111.1,13.1
Garbátyplatz,Pankow,61.4,49.4,110.8,27.3
Machonstraße,Tempelhof-Schöneberg,60.9,49.8,110.7,68.1
Karlshorst Nord,Lichtenberg,61.6,47.8,109.4,11.4
Rathaus Yorckstraße,Friedrichshain-Kreuzberg,49.4,60.0,109.4,75.8
Heine-Viertel West,Mitte,55.7,53.5,109.2,23.2
Koloniestraße,Mitte,56.8,52.4,109.2,94.5
Letteplatz,Reinickendorf,71.2,37.8,109.0,83.0
Zehlendorf Eiche,Steglitz-Zehlendorf,75.5,33.4,108.9,16.6
Droysenstraße,Charlottenburg-Wilmersdorf,54.4,54.4,108.8,49.4
Rollbergesiedlung,Reinickendorf,60.1,48.2,108.3,98.5
Arnimplatz,Pankow,43.4,64.9,108.3,32.7
Nikolsburger Platz,Charlottenburg-Wilmersdorf,52.2,56.1,108.3,31.9
Bayerischer Platz,Tempelhof-Schöneberg,55.4,52.6,108.0,37.5
Nibelungenviertel,Lichtenberg,60.7,47.2,107.9,40.8
Tegeler Weg,Charlottenburg-Wilmersdorf,44.1,63.8,107.9,66.2
Mellerbogen,Reinickendorf,67.9,39.9,107.8,63.5
Boxhagener Platz,Friedrichshain-Kreuzberg,50.0,57.0,107.0,29.0
Graefekiez Süd,Friedrichshain-Kreuzberg,48.9,57.9,106.8,76.4
Hertzbergplatz,Neukölln,37.8,68.5,106.3,86.7
Weitlingkiez,Lichtenberg,67.5,38.4,105.9,45.8
Gleisdreieck,Friedrichshain-Kreuzberg,38.0,67.9,105.9,13.5
Belziger Straße,Tempelhof-Schöneberg,45.9,59.6,105.5,71.8
Imbrosweg,Tempelhof-Schöneberg,65.7,39.7,105.4,65.5
Oberspree,Treptow-Köpenick,62.7,42.3,105.0,29.2
Lausitzer Platz,Friedrichshain-Kreuzberg,51.8,53.1,104.9,88.4
Wittenau Süd,Reinickendorf,72.9,31.5,104.4,58.7
Niederbarnimstraße,Friedrichshain-Kreuzberg,58.1,46.3,104.4,52.0
Londoner Straße,Mitte,64.0,40.2,104.2,81.0
Bahnhofstraße,Treptow-Köpenick,36.3,67.7,104.0,28.2
Forckenbeckstraße,Charlottenburg-Wilmersdorf,50.9,52.8,103.7,21.2
Drontheimer Straße,Mitte,51.1,52.2,103.3,94.6
Rollberg,Neukölln,42.1,60.9,103.0,99.1
Braunschweiger Straße,Neukölln,49.8,53.0,102.8,90.6
Uferstraße,Mitte,60.5,42.1,102.6,95.4
Biesdorf Süd,Marzahn-Hellersdorf,65.1,37.5,102.6,1.1
Belßstraße,Steglitz-Zehlendorf,58.5,43.9,102.4,63.1
Plänterwald West,Treptow-Köpenick,57.7,44.6,102.3,24.4
Tempelhofer Weg,Neukölln,45.0,56.6,101.6,85.8
Pastor-Niemöller-Platz,Pankow,59.6,41.7,101.3,17.5
Kladower Damm,Spandau,19.9,80.6,100.5,3.1
